Date,XLU,XLB,XLI,XLE,XLY,XLP,XLV,XLK,XLF,Cash,Total
2001-Mar-14,22852.8,2005.44,5532.12,11221,8691.23,7493.6,6289.4,-7422.24,17799,18474,92936.3
2001-Mar-15,23256.2,1961.28,5506.38,11228,8788.96,7502.72,6475.84,-7334.82,18334.1,18474,94192.6
2001-Mar-16,22906.1,1944,5347.98,11007.5,8593.5,7390.24,6388.52,-7174.08,18035.3,18797.6,93236.6
2001-Mar-19,23195.3,1990.08,5454.9,11147.5,8694.6,7475.36,6388.52,-7396.86,18243.8,18797.6,93990.7
2001-Mar-20,22860.4,2001.6,5344.02,11245.5,8714.82,7296,6254,-7041.54,17736.4,18797.6,93208.8
2001-Mar-21,22350.6,1939.2,5205.42,10923.5,8660.9,7113.6,6088.8,-7075.38,17222.1,18797.6,91226.3
2001-Mar-22,22069,1877.76,5064.84,10601.5,8391.3,7040.64,5954.28,-7399.68,16777.3,18797.6,89174.5
2001-Mar-23,22031,1896,5165.82,10685.5,8485.66,7207.84,6088.8,-7557.6,17486.2,18797.6,90286.8
2001-Mar-26,22761.5,1915.2,5258.88,10825.5,8633.94,7305.12,6195,-7458.9,17764.2,18797.6,91998.1
2001-Mar-27,23598.6,1963.2,5344.02,10885,8822.66,7469.28,6379.08,-7698.6,18264.6,18797.6,93825.5
2001-Mar-28,23096.4,1957.44,5247,10727.5,8677.75,7490.56,6246.92,-7128.96,18167.3,18797.6,93279.5
2001-Mar-29,23636.7,1933.44,5247,10500,8762,7508.8,6324.8,-7035.9,18125.6,18797.6,93800
2001-Mar-30,23811.7,1917.12,5264.82,10745,8792.33,7514.88,6329.52,-6993.6,18445.3,18797.6,94624.7
2001-Apr-02,24860.9,1967.84,5544,10455.1,8560.8,15073,3417.21,-8300.6,13276.7,19583.3,94438.2
2001-Apr-03,24742.1,1927.66,5313,10167.1,8272.16,14794.9,3341.1,-7744.94,12828.5,19583.3,93224.8
2001-Apr-04,24837.1,1964.9,5338.2,10347.5,8360.72,14986.5,3361.74,-7597.45,12514.7,19583.3,93697.3
2001-Apr-05,24670.8,2029.58,5649,10618.2,8547.68,15141,3445.59,-8400.07,12972.9,19583.3,94257.9
2001-Apr-06,24211.4,2006.06,5535.6,10632.1,8521.44,15091.6,3430.11,-8009.05,12684.1,19583.3,93686.6
2001-Apr-09,24742.1,2039.38,5634.3,10881.9,8442.72,15221.3,3472.68,-8029.63,12679.1,19583.3,94667.1
2001-Apr-10,25256.9,2128.56,5800.2,11069.3,8528,15202.8,3541.05,-8568.14,13047.6,19583.3,95589.5
2001-Apr-11,24916.3,2102.1,5735.1,10871.5,8432.88,14912.3,3498.48,-8880.27,13157.2,19583.3,94328.9
2001-Apr-12,24900.5,2092.3,5848.5,10986,8288.56,15110.1,3495.9,-9103.22,13256.8,19583.3,94458.7
2001-Apr-16,25296.5,2096.22,5838,11201.2,8327.92,15110.1,3520.41,-8883.7,13162.1,19583.3,95252
2001-Apr-17,25882.6,2093.28,5911.5,11260.2,8442.72,15443.8,3581.04,-8976.31,13271.7,19583.3,96493.7
2001-Apr-18,25344,2180.5,6165.6,11201.2,8960.96,15295.5,3724.23,-9792.65,13829.5,19583.3,96492
2001-Apr-19,25391.5,2145.22,6186.6,11006.8,8987.2,15233.7,3728.1,-10410.1,13904.2,19583.3,95756.5
2001-Apr-20,25090.6,2139.34,6169.8,11124.8,8892.08,15066.8,3738.42,-10290,13665.1,19583.3,95180.2
2001-Apr-23,25146,2124.64,6075.3,11419.8,8833.04,15141,3651.99,-9720.62,13495.8,19583.3,95750.2
2001-Apr-24,25264.8,2134.44,6014.4,11440.6,8678.88,14862.9,3662.31,-9569.7,13426.1,19583.3,95498
2001-Apr-25,25708.3,2126.6,6155.1,11603.7,8685.44,15258.4,3704.88,-9737.77,13570.5,19583.3,96658.4
